2025-01-29 14:03:37 - $GPCHC,2351,299028.00,0.00,0.25,1.72,0.53,-0.11,0.07,-0.0300,0.0043,0.9996,38.69224905,35.61973162,1368.78,-0.041,0.084,-0.560,0.094,10,0,61,0,0002*6C


2025-01-29 14:03:38 - $GPCHC,2351,299029.00,0.00,0.25,1.73,0.47,-0.11,0.02,-0.0302,0.0044,0.9991,38.69225125,35.61973907,1368.79,-0.064,0.269,-0.349,0.277,10,0,61,0,0002*6B


2025-01-29 14:03:39 - $GPCHC,2351,299030.00,0.00,0.26,1.74,0.48,-0.07,0.05,-0.0303,0.0046,0.9986,38.69223513,35.61975914,1366.91,0.018,0.292,-0.310,0.292,11,0,61,0,0002*42


2025-01-29 14:03:40 - $GPCHC,2351,299031.00,0.00,0.24,1.72,0.50,-0.10,0.06,-0.0301,0.0041,0.9993,38.69217425,35.62000501,1446.64,0.007,0.235,-0.543,0.236,11,0,61,0,0002*4B


2025-01-29 14:03:41 - $GPCHC,2351,299032.00,0.00,0.26,1.73,0.48,-0.11,0.05,-0.0302,0.0046,0.9992,38.69217868,35.62002270,1452.08,0.087,0.096,-0.322,0.130,11,0,61,0,0002*4B


2025-01-29 14:03:42 - $GPCHC,2351,299033.00,0.00,0.26,1.73,0.48,-0.10,0.07,-0.0301,0.0045,0.9990,38.69217491,35.62004217,1455.91,-0.081,0.267,0.195,0.279,13,0,61,0,0002*49


2025-01-29 14:03:43 - $GPCHC,2351,299034.00,0.00,0.24,1.73,0.46,-0.08,0.06,-0.0302,0.0043,0.9988,38.69215187,35.62009384,1464.09,-0.011,0.019,-0.055,0.022,12,0,61,0,0002*6C


2025-01-29 14:03:44 - $GPCHC,2351,299035.00,0.00,0.25,1.72,0.49,-0.13,0.05,-0.0300,0.0044,0.9993,38.69214348,35.62010745,1464.11,0.049,-0.327,0.642,0.331,13,0,61,0,0002*42


2025-01-29 14:03:45 - $GPCHC,2351,299036.00,0.00,0.26,1.73,0.49,-0.07,0.07,-0.0303,0.0045,0.9993,38.69214042,35.62013030,1465.23,-0.107,-0.176,0.371,0.206,12,0,61,0,0002*68


2025-01-29 14:03:46 - $GPCHC,2351,299037.00,0.00,0.26,1.73,0.50,-0.12,0.08,-0.0301,0.0045,0.9991,38.69213008,35.62016239,1470.67,-0.091,-0.182,0.525,0.203,10,0,61,0,0002*6C


2025-01-29 14:03:47 - $GPCHC,2351,299038.00,0.00,0.26,1.75,0.47,-0.09,0.06,-0.0304,0.0045,0.9990,38.69212263,35.62019307,1472.77,0.032,-0.317,0.312,0.319,9,0,61,0,0002*77


2025-01-29 14:03:48 - $GPCHC,2351,299039.00,0.00,0.25,1.74,0.46,-0.08,0.05,-0.0303,0.0044,0.9992,38.69211123,35.62011769,1439.30,-0.023,0.074,-0.359,0.078,12,0,61,0,0002*65


2025-01-29 14:03:49 - $GPCHC,2351,299040.00,0.00,0.26,1.74,0.48,-0.06,0.08,-0.0303,0.0045,0.9990,38.69210275,35.62010148,1426.51,0.104,-0.101,0.262,0.145,11,0,61,0,0002*45


2025-01-29 14:03:50 - $GPCHC,2351,299041.00,0.00,0.25,1.72,0.48,-0.07,0.07,-0.0300,0.0044,0.9992,38.69209469,35.62010614,1421.37,0.463,-0.371,0.935,0.593,12,0,61,0,0002*41


2025-01-29 14:03:51 - $GPCHC,2351,299042.00,0.00,0.25,1.73,0.48,-0.11,0.08,-0.0302,0.0043,0.9997,38.69208627,35.62011231,1417.83,0.298,-0.255,0.640,0.392,12,0,61,0,0002*45


2025-01-29 14:03:52 - $GPCHC,2351,299043.00,0.00,0.24,1.73,0.49,-0.08,0.02,-0.0302,0.0042,0.9990,38.69208339,35.62011233,1414.32,0.220,-0.262,0.665,0.342,13,0,61,0,0002*4D


2025-01-29 14:03:53 - $GPCHC,2351,299044.00,0.00,0.25,1.73,0.50,-0.07,0.02,-0.0302,0.0044,0.9989,38.69207722,35.62012102,1413.37,0.198,-0.229,0.651,0.303,13,0,61,0,0002*4E


2025-01-29 14:03:54 - $GPCHC,2351,299045.00,0.00,0.25,1.73,0.49,-0.07,0.05,-0.0302,0.0044,0.9991,38.69207957,35.62012650,1412.20,0.269,-0.188,0.758,0.328,14,0,61,0,0002*41


2025-01-29 14:03:55 - $GPCHC,2351,299046.00,0.00,0.26,1.74,0.48,-0.08,0.04,-0.0304,0.0045,0.9988,38.69206960,35.62013416,1411.30,0.061,0.030,0.168,0.068,13,0,61,0,0002*60


2025-01-29 14:03:56 - $GPCHC,2351,299047.00,0.00,0.25,1.74,0.46,-0.08,0.02,-0.0303,0.0044,0.9991,38.69206341,35.62015292,1412.37,-0.403,0.250,-1.219,0.474,15,0,61,0,0002*6A


2025-01-29 14:03:57 - $GPCHC,2351,299048.00,0.00,0.25,1.74,0.50,-0.07,0.07,-0.0304,0.0044,0.9993,38.69206350,35.62015726,1410.58,-0.310,0.260,-0.821,0.405,13,0,61,0,0002*6A


2025-01-29 14:03:58 - $GPCHC,2351,299049.00,0.00,0.26,1.72,0.47,-0.11,0.04,-0.0301,0.0045,0.9990,38.69206243,35.62016594,1410.18,-0.545,0.504,-1.592,0.742,13,0,61,0,0002*63


2025-01-29 14:03:59 - $GPCHC,2351,299050.00,0.00,0.24,1.73,0.48,-0.08,0.06,-0.0301,0.0041,0.9997,38.69206837,35.62015063,1406.89,-0.435,0.345,-0.748,0.556,14,0,61,0,0002*67


2025-01-29 14:04:00 - $GPCHC,2351,299051.00,0.00,0.23,1.75,0.53,-0.08,0.07,-0.0305,0.0040,0.9994,38.69206181,35.62016219,1407.58,0.054,0.000,0.308,0.054,13,0,61,0,0002*6E


2025-01-29 14:04:01 - $GPCHC,2351,299052.00,0.00,0.25,1.73,0.51,-0.09,0.01,-0.0302,0.0044,0.9994,38.69205787,35.62016279,1408.60,0.188,-0.240,0.737,0.305,14,0,61,0,0002*49


2025-01-29 14:04:02 - $GPCHC,2351,299053.00,0.00,0.24,1.72,0.49,-0.12,0.04,-0.0300,0.0042,0.9992,38.69205091,35.62017431,1410.21,0.258,-0.302,0.669,0.398,15,0,61,0,0002*4D


2025-01-29 14:04:03 - $GPCHC,2351,299054.00,0.00,0.25,1.72,0.49,-0.13,0.04,-0.0301,0.0043,0.9993,38.69204889,35.62017348,1407.92,0.235,-0.181,0.495,0.296,16,0,61,0,0002*43


2025-01-29 14:04:04 - $GPCHC,2351,299055.00,0.00,0.25,1.74,0.52,-0.10,0.10,-0.0304,0.0043,0.9993,38.69204973,35.62017105,1405.84,-0.038,0.098,-0.123,0.105,16,0,61,0,0002*6D


2025-01-29 14:04:05 - $GPCHC,2351,299056.00,0.00,0.25,1.73,0.53,-0.11,0.05,-0.0301,0.0043,0.9992,38.69205339,35.62015811,1401.21,-0.142,0.123,-0.193,0.188,13,0,61,0,0002*6F
